_date,total_views,unique_views
2021-07-26,140,14
2021-07-27,2,2
2021-07-28,12,3
2021-07-29,3,3
2021-07-30,2,2
2021-07-31,2,2
2021-08-02,8,6
2021-08-03,3,1
2021-08-04,76,2
2021-08-05,27,1
2021-08-06,2,2
2021-08-07,1,1
2021-08-09,57,8
2021-08-10,6,3
2021-08-12,3,3
2021-08-13,5,4
2021-08-14,1,1
2021-08-16,8,6
2021-08-17,5,4
2021-08-18,2,2
2021-08-19,2,1
2021-08-21,1,1
2021-08-23,20,8
2021-08-25,1,1
2021-08-26,2,2
2021-08-28,2,2
2021-08-29,1,1
2021-08-30,2,2
2021-08-31,1,1
2021-09-01,3,1
2021-09-02,3,3
2021-09-03,4,3
2021-09-06,2,2
2021-09-07,1,1
2021-09-08,9,6
2021-09-09,23,3
2021-09-10,2,2
2021-09-11,2,2
2021-09-12,2,2
